epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.67243,1.03809,2.72575,1.28987,0.60923,0.86189,0.8879,0.62222,1.39475,1.28628,1.24604,0,0,0
2,2.02096,1.24928,2.9651,1.61838,0.58477,0.8858,0.88781,0.61518,1.40149,1.30453,1.24916,1.17822e-06,1.17822e-06,1.17822e-06
3,2.36626,1.30191,2.77155,1.56554,0.57202,0.87884,0.88813,0.60739,1.42743,1.32653,1.26216,2.33288e-06,2.33288e-06,2.33288e-06
4,2.75926,1.04405,2.67118,1.28579,0.54836,0.83333,0.83289,0.58208,1.45102,1.36448,1.26854,3.46397e-06,3.46397e-06,3.46397e-06
5,3.20806,1.27407,2.33727,1.49833,0.57257,0.83333,0.83092,0.58127,1.47655,1.40568,1.28191,4.5715e-06,4.5715e-06,4.5715e-06
6,3.6532,1.01043,2.9402,1.40946,0.81418,0.57009,0.87227,0.5775,1.49794,1.45856,1.29758,5.65548e-06,5.65548e-06,5.65548e-06
7,4.09281,1.27207,2.35261,1.44565,0.81565,0.57029,0.85521,0.57229,1.51323,1.50562,1.31822,6.71588e-06,6.71588e-06,6.71588e-06
8,4.53926,1.36432,2.99925,1.6209,0.80994,0.57947,0.85523,0.55182,1.52229,1.5754,1.32341,7.75273e-06,7.75273e-06,7.75273e-06
9,4.96956,1.14164,2.94306,1.44783,0.77774,0.58333,0.76908,0.53931,1.50438,1.67066,1.33242,8.76602e-06,8.76602e-06,8.76602e-06
10,5.41395,1.08733,3.65996,1.66885,0.74242,0.58333,0.77225,0.51353,1.49591,1.71741,1.33058,9.75574e-06,9.75574e-06,9.75574e-06
11,5.84454,1.42854,2.97175,1.77109,0.68232,0.58333,0.74317,0.50873,1.51476,1.7737,1.34203,1.07219e-05,1.07219e-05,1.07219e-05
12,6.29893,1.32992,2.7575,1.64367,0.69085,0.58333,0.7415,0.51634,1.50338,1.78945,1.33939,1.16645e-05,1.16645e-05,1.16645e-05
13,6.7285,0.95189,2.04043,1.20418,0.75795,0.41667,0.74146,0.51642,1.50163,1.81504,1.33977,1.25835e-05,1.25835e-05,1.25835e-05
14,7.1776,0.75993,1.89337,1.10748,0.94028,0.37541,0.63079,0.49062,1.51653,1.85755,1.34482,1.3479e-05,1.3479e-05,1.3479e-05
15,7.61462,1.29387,2.60535,1.52765,0.94316,0.37821,0.63142,0.48911,1.54311,1.87122,1.35272,1.43509e-05,1.43509e-05,1.43509e-05
16,8.06868,0.93613,1.55355,1.23336,0.94273,0.37892,0.63134,0.49075,1.56663,1.9038,1.36501,1.51993e-05,1.51993e-05,1.51993e-05
17,8.50163,0.94104,1.66511,1.40791,0.94272,0.37962,0.6314,0.47449,1.56505,1.94024,1.36344,1.60241e-05,1.60241e-05,1.60241e-05
18,8.93816,1.2567,2.48584,1.51942,0.94272,0.37962,0.6314,0.47449,1.56505,1.94024,1.36344,1.68253e-05,1.68253e-05,1.68253e-05
19,9.39046,0.90977,1.78302,1.22312,0.94289,0.37813,0.60333,0.45843,1.59115,1.99881,1.38071,1.7603e-05,1.7603e-05,1.7603e-05
20,9.82252,0.90779,2.1542,1.29774,0.94289,0.37813,0.60333,0.45843,1.59115,1.99881,1.38071,1.83571e-05,1.83571e-05,1.83571e-05
21,10.2882,1.04038,1.79091,1.31126,0.94291,0.37709,0.60335,0.45305,1.64669,2.10266,1.42142,1.90876e-05,1.90876e-05,1.90876e-05
22,10.7243,1.14162,2.0787,1.47427,0.94291,0.37709,0.60335,0.45305,1.64669,2.10266,1.42142,1.97946e-05,1.97946e-05,1.97946e-05
23,11.171,0.89909,1.88384,1.27513,0.94471,0.37628,0.60391,0.45141,1.67502,2.14735,1.44855,2.0478e-05,2.0478e-05,2.0478e-05
24,11.6017,1.10241,2.10043,1.49721,0.94471,0.37628,0.60391,0.45141,1.67502,2.14735,1.44855,2.11379e-05,2.11379e-05,2.11379e-05
25,12.0457,0.96152,1.33179,1.25683,0.94486,0.37543,0.58654,0.43296,1.72408,2.18917,1.48194,2.17741e-05,2.17741e-05,2.17741e-05
26,12.4748,0.99051,1.62136,1.35958,0.94486,0.37543,0.58654,0.43296,1.72408,2.18917,1.48194,2.23869e-05,2.23869e-05,2.23869e-05
27,12.9271,1.19858,2.63268,1.48437,0.94728,0.3764,0.57768,0.43083,1.76707,2.25714,1.52108,2.2976e-05,2.2976e-05,2.2976e-05
28,13.3654,1.16198,2.24038,1.51879,0.94728,0.3764,0.57768,0.43083,1.76707,2.25714,1.52108,2.35417e-05,2.35417e-05,2.35417e-05
29,13.8182,1.27635,1.58228,1.47673,0.94472,0.37541,0.57958,0.46342,1.77,2.29217,1.5503,2.40837e-05,2.40837e-05,2.40837e-05
30,14.2632,0.82859,1.41883,1.17108,0.94472,0.37541,0.57958,0.46342,1.77,2.29217,1.5503,2.46022e-05,2.46022e-05,2.46022e-05
31,14.7177,0.94953,2.07182,1.30457,0.94594,0.37571,0.58122,0.45619,1.78518,2.33453,1.58555,2.50971e-05,2.50971e-05,2.50971e-05
32,15.17,0.73295,1.42033,1.28558,0.94594,0.37571,0.58122,0.45619,1.78518,2.33453,1.58555,2.55685e-05,2.55685e-05,2.55685e-05
33,15.6276,0.98133,1.57457,1.2612,0.9435,0.37509,0.49599,0.38057,1.76452,2.35227,1.55991,2.60163e-05,2.60163e-05,2.60163e-05
34,16.0575,0.78314,1.50389,1.2446,0.9435,0.37509,0.49599,0.38057,1.76452,2.35227,1.55991,2.64405e-05,2.64405e-05,2.64405e-05
35,16.5034,1.07042,2.1273,1.4351,0.94756,0.39015,0.49803,0.37985,1.76263,2.35039,1.54694,2.68412e-05,2.68412e-05,2.68412e-05
36,16.9332,0.90512,1.16099,1.21929,0.94756,0.39015,0.49803,0.37985,1.76263,2.35039,1.54694,2.72183e-05,2.72183e-05,2.72183e-05
37,17.3769,0.95073,1.24815,1.35284,0.94718,0.39036,0.49976,0.3803,1.74993,2.37156,1.54121,2.75718e-05,2.75718e-05,2.75718e-05
38,17.8161,0.95946,1.02613,1.32258,0.94718,0.39036,0.49976,0.3803,1.74993,2.37156,1.54121,2.79018e-05,2.79018e-05,2.79018e-05
39,18.2585,0.94274,1.04189,1.23515,0.94679,0.38941,0.50147,0.37439,1.73894,2.39994,1.53273,2.82082e-05,2.82082e-05,2.82082e-05
40,18.6881,0.69768,1.0453,1.02543,0.94679,0.38941,0.50147,0.37439,1.73894,2.39994,1.53273,2.84911e-05,2.84911e-05,2.84911e-05
41,19.1411,0.72155,1.35174,1.21192,0.94643,0.38898,0.50122,0.39022,1.71069,2.37656,1.50535,2.87504e-05,2.87504e-05,2.87504e-05
42,19.5688,0.93434,1.45304,1.40513,0.94643,0.38898,0.50122,0.39022,1.71069,2.37656,1.50535,2.89861e-05,2.89861e-05,2.89861e-05
43,20.0206,0.96563,1.75236,1.42281,0.92676,0.37317,0.49806,0.38899,1.69042,2.40748,1.49661,2.91983e-05,2.91983e-05,2.91983e-05
44,20.4549,0.79048,0.92265,1.12309,0.92676,0.37317,0.49806,0.38899,1.69042,2.40748,1.49661,2.93869e-05,2.93869e-05,2.93869e-05
45,20.9042,0.89504,1.54943,1.35406,0.94334,0.38943,0.50153,0.39114,1.69738,2.41989,1.49745,2.9552e-05,2.9552e-05,2.9552e-05
46,21.3391,0.90052,1.09514,1.33163,0.94334,0.38943,0.50153,0.39114,1.69738,2.41989,1.49745,2.96935e-05,2.96935e-05,2.96935e-05
47,21.7882,0.82306,1.19902,1.19978,0.9412,0.38917,0.50203,0.38975,1.68275,2.45057,1.4903,2.98114e-05,2.98114e-05,2.98114e-05
48,22.2249,0.88958,1.56991,1.33345,0.9412,0.38917,0.50203,0.38975,1.68275,2.45057,1.4903,2.99058e-05,2.99058e-05,2.99058e-05
49,22.6778,0.86616,1.45982,1.35289,0.94127,0.38863,0.50182,0.38986,1.67457,2.48104,1.48567,2.99766e-05,2.99766e-05,2.99766e-05
50,23.1107,1.02458,1.0961,1.30538,0.94127,0.38863,0.50182,0.38986,1.67457,2.48104,1.48567,3.00238e-05,3.00238e-05,3.00238e-05
51,23.5567,0.87322,1.15557,1.25945,0.9426,0.3887,0.47428,0.36251,1.70141,2.4803,1.50263,3.00475e-05,3.00475e-05,3.00475e-05
52,23.9869,0.62768,1.18955,1.171,0.9426,0.3887,0.47428,0.36251,1.70141,2.4803,1.50263,3.00476e-05,3.00476e-05,3.00476e-05
53,24.4272,0.64537,0.71644,1.11798,0.9426,0.3887,0.47428,0.36251,1.70141,2.4803,1.50263,3.00242e-05,3.00242e-05,3.00242e-05
54,24.8817,0.57854,0.86068,1.05908,0.94175,0.38944,0.47694,0.36363,1.73391,2.42763,1.52764,2.99772e-05,2.99772e-05,2.99772e-05
55,25.3107,0.86751,0.90026,1.3523,0.94175,0.38944,0.47694,0.36363,1.73391,2.42763,1.52764,2.99066e-05,2.99066e-05,2.99066e-05
56,25.7398,0.69752,1.0037,1.24039,0.94175,0.38944,0.47694,0.36363,1.73391,2.42763,1.52764,2.98125e-05,2.98125e-05,2.98125e-05
57,26.184,0.74581,1.18569,1.19589,0.9436,0.38967,0.45521,0.34368,1.73009,2.43929,1.50275,2.96948e-05,2.96948e-05,2.96948e-05
58,26.6296,0.61684,0.73123,1.1115,0.9436,0.38967,0.45521,0.34368,1.73009,2.43929,1.50275,2.95535e-05,2.95535e-05,2.95535e-05
59,27.0648,0.75884,0.881,1.15524,0.9436,0.38967,0.45521,0.34368,1.73009,2.43929,1.50275,2.93887e-05,2.93887e-05,2.93887e-05
60,27.5189,0.7626,0.88619,1.25401,0.94847,0.39058,0.44977,0.34081,1.75041,2.47998,1.53213,2.92003e-05,2.92003e-05,2.92003e-05
61,27.9604,0.75565,0.93396,1.12848,0.94847,0.39058,0.44977,0.34081,1.75041,2.47998,1.53213,2.89884e-05,2.89884e-05,2.89884e-05
62,28.4002,0.82074,1.32092,1.29958,0.94847,0.39058,0.44977,0.34081,1.75041,2.47998,1.53213,2.87529e-05,2.87529e-05,2.87529e-05
63,28.843,0.73996,0.78101,1.16431,0.95176,0.39133,0.44354,0.32632,1.75168,2.47935,1.52399,2.84938e-05,2.84938e-05,2.84938e-05
64,29.2736,0.67081,0.60415,1.08249,0.95176,0.39133,0.44354,0.32632,1.75168,2.47935,1.52399,2.82112e-05,2.82112e-05,2.82112e-05
65,29.7048,0.69726,0.72651,1.17634,0.95176,0.39133,0.44354,0.32632,1.75168,2.47935,1.52399,2.7905e-05,2.7905e-05,2.7905e-05
66,30.1579,0.5095,0.74776,1.05234,0.95702,0.39035,0.44835,0.31156,1.74612,2.46909,1.51063,2.75753e-05,2.75753e-05,2.75753e-05
67,30.5838,0.56071,0.63,0.99923,0.95702,0.39035,0.44835,0.31156,1.74612,2.46909,1.51063,2.7222e-05,2.7222e-05,2.7222e-05
68,31.017,0.60397,0.8629,1.18604,0.95702,0.39035,0.44835,0.31156,1.74612,2.46909,1.51063,2.68451e-05,2.68451e-05,2.68451e-05
69,31.4584,0.75733,0.93007,1.07831,0.96586,0.38775,0.42431,0.29239,1.73791,2.50224,1.49824,2.64447e-05,2.64447e-05,2.64447e-05
70,31.892,0.69956,0.74761,1.12346,0.96586,0.38775,0.42431,0.29239,1.73791,2.50224,1.49824,2.60207e-05,2.60207e-05,2.60207e-05
71,32.3279,0.56053,1.07119,1.05937,0.96586,0.38775,0.42431,0.29239,1.73791,2.50224,1.49824,2.55731e-05,2.55731e-05,2.55731e-05
72,32.7759,0.8069,0.81988,1.21149,0.97659,0.38855,0.42464,0.29285,1.73052,2.49228,1.48445,2.5102e-05,2.5102e-05,2.5102e-05
73,33.2009,0.78019,1.02834,1.30454,0.97659,0.38855,0.42464,0.29285,1.73052,2.49228,1.48445,2.46073e-05,2.46073e-05,2.46073e-05
74,33.6331,0.75679,1.0695,1.23502,0.97659,0.38855,0.42464,0.29285,1.73052,2.49228,1.48445,2.40891e-05,2.40891e-05,2.40891e-05
75,34.0718,0.75755,0.77151,1.24824,0.97189,0.39262,0.42445,0.2917,1.74253,2.48387,1.5025,2.35472e-05,2.35472e-05,2.35472e-05
76,34.5122,0.73709,0.852,1.18485,0.97189,0.39262,0.42445,0.2917,1.74253,2.48387,1.5025,2.29819e-05,2.29819e-05,2.29819e-05
77,34.9342,0.74421,0.76384,1.18031,0.97189,0.39262,0.42445,0.2917,1.74253,2.48387,1.5025,2.23929e-05,2.23929e-05,2.23929e-05
78,35.3794,0.80129,1.01821,1.25755,0.93104,0.4,0.42538,0.3003,1.74436,2.45797,1.49494,2.17805e-05,2.17805e-05,2.17805e-05
79,35.8048,0.46959,0.70818,0.96894,0.93104,0.4,0.42538,0.3003,1.74436,2.45797,1.49494,2.11444e-05,2.11444e-05,2.11444e-05
80,36.254,0.68837,0.88006,1.18081,0.93104,0.4,0.42538,0.3003,1.74436,2.45797,1.49494,2.04848e-05,2.04848e-05,2.04848e-05
81,36.6906,0.74993,0.86007,1.22279,0.90315,0.4,0.42467,0.30222,1.75575,2.48449,1.49696,1.98016e-05,1.98016e-05,1.98016e-05
82,37.1226,0.57338,0.66174,1.02783,0.90315,0.4,0.42467,0.30222,1.75575,2.48449,1.49696,1.90949e-05,1.90949e-05,1.90949e-05
83,37.5577,0.68052,0.71603,1.10443,0.90315,0.4,0.42467,0.30222,1.75575,2.48449,1.49696,1.83646e-05,1.83646e-05,1.83646e-05
84,38.0112,0.60886,0.79134,1.08201,0.90832,0.4,0.42497,0.29072,1.75239,2.47637,1.48187,1.76107e-05,1.76107e-05,1.76107e-05
85,38.4411,0.47397,0.4172,0.93283,0.90832,0.4,0.42497,0.29072,1.75239,2.47637,1.48187,1.68333e-05,1.68333e-05,1.68333e-05
86,38.8811,1.39853,1.36422,1.6291,0.90832,0.4,0.42497,0.29072,1.75239,2.47637,1.48187,1.60323e-05,1.60323e-05,1.60323e-05
87,39.313,0.7332,0.96823,1.12989,0.90832,0.4,0.42497,0.29072,1.75239,2.47637,1.48187,1.52077e-05,1.52077e-05,1.52077e-05
88,39.765,0.74483,0.93312,1.18825,0.87478,0.4,0.42375,0.29043,1.75204,2.45254,1.4721,1.43596e-05,1.43596e-05,1.43596e-05
89,40.2013,0.66097,0.62005,1.13448,0.87478,0.4,0.42375,0.29043,1.75204,2.45254,1.4721,1.34879e-05,1.34879e-05,1.34879e-05
90,40.6409,0.90807,0.95612,1.30231,0.87478,0.4,0.42375,0.29043,1.75204,2.45254,1.4721,1.25927e-05,1.25927e-05,1.25927e-05
91,41.3769,0.51091,0.57737,0.9647,0.87478,0.4,0.42375,0.29043,1.75204,2.45254,1.4721,1.16739e-05,1.16739e-05,1.16739e-05
92,41.8667,0.50081,0.53486,0.85354,0.86354,0.4,0.4272,0.27699,1.73322,2.47769,1.45,1.07315e-05,1.07315e-05,1.07315e-05
93,42.3082,0.52899,0.646,0.92653,0.86354,0.4,0.4272,0.27699,1.73322,2.47769,1.45,9.76562e-06,9.76562e-06,9.76562e-06
94,42.7494,0.5824,0.51478,1.01912,0.86354,0.4,0.4272,0.27699,1.73322,2.47769,1.45,8.77613e-06,8.77613e-06,8.77613e-06
95,43.1944,0.51666,0.54604,1.03427,0.86354,0.4,0.4272,0.27699,1.73322,2.47769,1.45,7.76308e-06,7.76308e-06,7.76308e-06
96,43.6496,0.43637,0.46974,0.98489,0.88376,0.41059,0.42689,0.29291,1.75384,2.49159,1.45517,6.72648e-06,6.72648e-06,6.72648e-06
